value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.74025974;False;entropy;50;sqrt;636;0.000783672;0.000120094;956;0;0
0.727272727;False;log_loss;21;sqrt;751;0.261863452;0.001781122;555;0;0
0.753246753;True;gini;99;log2;717;0.026002386;0.022513072;743;0;0
0.642857143;True;gini;44;;227;0.000154959;0.795192281;807;0;0
0.75974026;True;log_loss;58;sqrt;318;0.008796061;0.090851788;750;0;0
0.766233766;True;gini;27;log2;733;0.006281435;0.000118442;893;0;0
0.779220779;False;entropy;49;log2;713;0.023970377;0.000370017;342;0;0
0.74025974;True;gini;13;log2;466;0.000337937;0.001432277;461;0;0
0.74025974;False;entropy;68;;748;0.059933217;0.505520983;135;0;0
0.75974026;True;log_loss;11;sqrt;181;0.087898623;0.198387798;356;0;0
0.746753247;True;log_loss;11;sqrt;287;0.000429076;0.000581763;363;0;0
0.75974026;False;log_loss;6;sqrt;238;0.000185839;0.2318527;408;0;0
0.714285714;False;log_loss;25;;472;0.117567844;0.01880729;698;0;0
0.74025974;False;gini;70;;978;0.001092741;0.000159122;616;0;0
0.733766234;False;gini;88;;929;0.003569316;0.002419247;229;0;0
0.753246753;True;log_loss;33;sqrt;626;0.00079602;0.044943348;671;0;0
0.746753247;True;entropy;28;;246;0.28837978;0.285914141;82;0;0
0.74025974;True;entropy;80;sqrt;571;0.128653317;0.000206117;297;0;0
0.753246753;False;log_loss;22;log2;405;0.002101304;0.001435924;899;0;0
0.792207792;False;gini;58;log2;148;0.000110728;0.212396659;229;0;0
0.766233766;True;log_loss;10;sqrt;276;0.00726286;0.006014458;951;0;0
0.75974026;True;log_loss;36;sqrt;854;0.001310397;0.002244894;405;0;0
0.766233766;True;log_loss;75;;110;0.041809666;0.003518462;849;0;0
0.746753247;False;entropy;69;sqrt;830;0.000565336;0.000267544;712;0;0
0.766233766;True;log_loss;61;log2;730;0.062112908;0.357844517;882;0;0
0.75974026;False;gini;39;log2;339;0.105834779;0.034455249;883;0;0
0.75974026;False;entropy;64;log2;209;0.003138622;0.393918952;767;0;0
0.75974026;False;log_loss;58;log2;317;0.137634146;0.000881642;580;0;0
0.772727273;True;gini;41;sqrt;923;0.035975068;0.000770592;441;0;0
0.766233766;True;entropy;97;;783;0.08104134;0.255594977;127;0;0
0.753246753;True;entropy;33;sqrt;617;0.001225645;0.018709722;524;0;0
0.753246753;True;gini;11;;338;0.001978027;0.003409505;697;0;0
0.772727273;False;gini;83;;26;0.062662609;0.245114118;324;0;0
0.772727273;False;gini;48;log2;699;0.015445338;0.000143448;994;0;0
0.753246753;False;log_loss;94;;992;0.380938092;0.005672841;629;0;0
0.766233766;True;entropy;17;;586;0.001000853;0.301597515;337;0;0
0.746753247;True;gini;64;sqrt;304;0.000308011;0.000265001;916;0;0
0.766233766;True;gini;27;;818;0.035331192;0.000481033;554;0;0
0.766233766;False;entropy;58;log2;337;0.008236772;0.260508914;637;0;0
0.746753247;False;entropy;39;sqrt;620;0.001577707;0.002475893;979;0;0
0.74025974;True;gini;87;log2;274;0.000287678;0.000173901;304;0;0
0.75974026;False;entropy;45;;993;0.019337292;0.030031094;609;0;0
0.746753247;True;gini;7;sqrt;967;0.000849258;0.004758338;401;0;0
0.733766234;True;entropy;30;;984;0.00051402;0.017948884;17;0;0
0.746753247;True;log_loss;21;sqrt;320;0.000730423;0.000471961;508;0;0
0.75974026;True;log_loss;32;log2;389;0.000277665;0.000188907;935;0;0
0.772727273;False;gini;62;;968;0.009332231;0.36054722;241;0;0
0.733766234;False;entropy;89;;535;0.073641751;0.019753923;455;0;0
0.701298701;True;log_loss;44;log2;132;0.267533115;0.000237256;406;0;0
