value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.694805195;10.86564858;balanced;486;l2;saga;0.00013841;1;0
0.753246753;29861.97522;;486;l2;liblinear;1.01E-05;1;0
0.753246753;43.72172134;;226;l1;saga;2.27E-05;1;0
0.694805195;55.93001305;balanced;455;l2;liblinear;0.001043833;1;0
0.701298701;1088.511968;balanced;902;l1;saga;0.057778544;1;0
0.694805195;46491.47758;balanced;881;l1;saga;0.011084335;1;0
0.753246753;4.020515749;;820;l2;liblinear;3.87E-05;1;0
0.694805195;219.3744377;balanced;389;l2;saga;0.00164347;1;0
0.694805195;418.8516468;balanced;459;l2;saga;1.97E-05;1;0
0.701298701;0.102300628;balanced;576;l2;saga;4.54E-05;1;0
0.707792208;0.095035865;balanced;849;l1;saga;0.018978734;1;0
0.694805195;2167.882992;balanced;715;l2;liblinear;0.015184816;1;0
0.642857143;5.62E-05;balanced;246;l1;liblinear;0.000952033;1;0
0.642857143;2.18E-05;;822;l1;saga;0.010662714;1;0
0.753246753;18031.24791;;489;l2;liblinear;0.00030589;1;0
0.694805195;180.1784781;balanced;802;l2;liblinear;0.071135892;1;0
0.642857143;1.45E-05;;226;l1;saga;0.002142496;1;0
0.727272727;1.50E-05;balanced;122;l2;saga;0.000188761;1;0
0.746753247;0.041227316;;686;l1;liblinear;0.007455927;1;0
0.74025974;59570.83505;;715;l2;saga;0.031574237;1;0
0.753246753;0.308366436;;429;l2;liblinear;0.000462451;1;0
0.753246753;703.6207113;;822;l1;saga;9.49E-05;1;0
0.642857143;0.00588481;;979;l1;saga;0.005028347;1;0
0.753246753;38.63994342;;623;l1;liblinear;0.0002193;1;0
0.753246753;8895.90286;;770;l1;liblinear;0.000427047;1;0
0.694805195;1.268529866;balanced;779;l2;saga;0.002995015;1;0
0.753246753;7.208094866;;999;l2;liblinear;6.38E-05;1;0
0.642857143;5.88E-05;;357;l1;liblinear;0.000272712;1;0
0.694805195;931.6007104;balanced;538;l2;saga;4.54E-05;1;0
0.701298701;1.354511932;balanced;315;l2;liblinear;0.0406648;1;0
0.694805195;0.02630301;balanced;626;l2;saga;0.04126141;1;0
0.642857143;0.000170423;;487;l1;liblinear;7.79E-05;1;0
0.753246753;5344.46584;;324;l1;saga;0.000533502;1;0
0.694805195;0.149385601;balanced;991;l2;saga;0.058863235;1;0
0.753246753;43.97696426;;341;l2;saga;9.64E-05;1;0
0.74025974;0.011902251;;369;l1;liblinear;0.007054953;1;0
0.642857143;0.000323632;;857;l1;liblinear;0.088475909;1;0
0.707792208;0.000747906;;461;l2;liblinear;0.002328646;1;0
0.694805195;3932.928925;balanced;195;l1;liblinear;0.028040367;1;0
0.694805195;10462.24662;balanced;291;l2;liblinear;0.000385424;1;0
0.753246753;15640.25818;;825;l1;liblinear;0.000144523;1;0
0.753246753;1.075089441;;544;l1;saga;0.000738982;1;0
0.642857143;6.56E-05;;562;l2;saga;0.020283281;1;0
0.694805195;0.11196304;balanced;666;l2;liblinear;0.003906826;1;0
0.701298701;0.024997803;balanced;220;l2;saga;1.44E-05;1;0
0.642857143;9.27E-05;;231;l1;liblinear;0.000141466;1;0
0.688311688;166.8208258;balanced;368;l2;saga;0.026142887;1;0
0.642857143;6.75E-05;;413;l1;liblinear;0.000324483;1;0
0.727272727;0.012779519;;195;l2;liblinear;1.88E-05;1;0
0.694805195;4471.836857;balanced;641;l1;liblinear;0.062378913;1;0
0.694805195;184.7215205;balanced;535;l2;saga;0.001443764;1;0
0.701298701;56311.20699;balanced;658;l1;saga;0.03936666;1;0
0.701298701;0.375642386;balanced;606;l1;liblinear;2.77E-05;1;0
0.642857143;0.00050739;balanced;290;l1;liblinear;3.29E-05;1;0
0.642857143;0.002788523;balanced;357;l1;liblinear;0.000932557;1;0
