value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.935;0.00043952;;399;l2;liblinear;0.007578116;1;0
0.605;6716.695841;balanced;149;l2;liblinear;0.000279458;1;0
0.935;2.24E-05;;787;l2;liblinear;0.00076791;1;0
0.935;509.2334303;;536;l1;liblinear;8.92E-05;1;0
0.935;0.000253116;;452;l1;liblinear;8.48E-05;1;0
0.605;328.929629;balanced;447;l2;liblinear;0.010861393;1;0
0.935;0.000115605;;274;l2;liblinear;0.004147107;1;0
0.47;0.317443517;balanced;550;l1;liblinear;0.001425982;1;0
0.605;3587.416868;balanced;146;l1;saga;1.87E-05;1;0
0.625;1.634531396;balanced;566;l1;liblinear;1.12E-05;1;0
0.605;45641.58264;balanced;549;l2;saga;0.001115676;1;0
0.605;33637.93113;balanced;270;l1;saga;0.008972388;1;0
0.605;380.4517692;balanced;573;l2;liblinear;0.000222715;1;0
0.605;3886.40314;balanced;370;l2;liblinear;1.58E-05;1;0
0.935;0.201831253;;226;l1;liblinear;0.000234248;1;0
0.935;4668.872385;;897;l2;liblinear;9.04E-05;1;0
0.605;20585.92074;balanced;624;l1;saga;0.000263193;1;0
0.935;120.2872291;;311;l2;liblinear;6.69E-05;1;0
0.935;4209.634413;;725;l1;saga;4.07E-05;1;0
0.935;172.7366026;;594;l2;liblinear;0.000524476;1;0
0.935;28485.91487;;264;l2;liblinear;0.07990224;1;0
0.775;0.035180996;balanced;988;l1;saga;0.000734025;1;0
0.935;1842.642374;;709;l2;liblinear;0.006250448;1;0
0.935;20663.86568;;708;l2;saga;0.02166813;1;0
0.605;0.808229305;balanced;938;l2;saga;2.97E-05;1;0
0.935;0.126588548;;864;l1;liblinear;9.32E-05;1;0
0.935;18.28667052;;549;l1;saga;1.23E-05;1;0
0.605;2234.310847;balanced;712;l2;liblinear;0.00060049;1;0
0.565;3.42E-05;balanced;764;l2;liblinear;0.042206959;1;0
0.935;0.046156598;;629;l1;liblinear;0.01286567;1;0
0.935;1.73E-05;;712;l2;saga;3.25E-05;1;0
0.935;0.000479972;balanced;465;l1;liblinear;0.00028341;1;0
0.575;0.000118045;balanced;395;l2;saga;0.01893154;1;0
0.775;0.046841554;balanced;461;l1;liblinear;0.010622989;1;0
0.605;136.0264268;balanced;960;l1;liblinear;1.46E-05;1;0
0.935;13.88197668;;831;l1;liblinear;8.06E-05;1;0
0.935;0.081974162;;883;l2;liblinear;0.007322553;1;0
0.57;0.006299697;balanced;466;l2;saga;4.61E-05;1;0
0.605;48240.33411;balanced;477;l2;liblinear;2.75E-05;1;0
0.605;77270.59907;balanced;122;l1;saga;0.001238354;1;0
0.565;5.04E-05;balanced;244;l2;liblinear;0.000772169;1;0
0.935;9.19E-05;balanced;264;l1;liblinear;0.022092415;1;0
0.935;0.033357244;;497;l1;liblinear;0.093611662;1;0
0.935;1468.242027;;709;l2;liblinear;0.000392313;1;0
0.935;882.3937119;;313;l2;saga;4.34E-05;1;0
0.935;0.011877461;;319;l2;liblinear;0.089065082;1;0
0.935;0.000132239;;600;l2;liblinear;0.011569443;1;0
0.935;402.4495277;;109;l1;liblinear;0.001124014;1;0
0.605;8451.484881;balanced;549;l2;liblinear;3.14E-05;1;0
