value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.935;False;log_loss;91;log2;171;0.000466605;0.456098165;578;0;0
0.935;True;log_loss;82;;341;0.004250056;0.011547566;115;0;0
0.935;False;entropy;17;;68;0.034863741;0.003420169;68;0;0
0.935;True;log_loss;90;;88;0.106798765;0.153564802;914;0;0
0.935;False;entropy;77;log2;310;0.01517422;0.000938212;130;0;0
0.935;True;gini;73;sqrt;292;0.006594534;0.04870782;227;0;0
0.935;False;gini;97;;20;0.01613581;0.01646249;744;0;0
0.935;False;gini;60;log2;150;0.002049312;0.232484771;972;0;0
0.935;False;gini;51;;575;0.001517038;0.058378137;184;0;0
0.935;False;entropy;78;sqrt;971;0.044791054;0.048528776;541;0;0
0.935;True;gini;82;;134;0.161155892;0.01077642;576;0;0
0.935;True;gini;59;log2;779;0.025093597;0.161502029;667;0;0
0.92;True;log_loss;96;sqrt;308;0.000920247;0.0069879;529;0;0
0.935;False;log_loss;1;;739;0.018907195;0.000109609;663;0;0
0.935;True;gini;97;log2;359;0.001657103;0.001344817;656;0;0
0.93;False;log_loss;45;sqrt;104;0.001346562;0.019902203;36;0;0
0.935;True;gini;7;sqrt;447;0.000343861;0.058835147;489;0;0
0.92;False;log_loss;13;;632;0.00013258;0.007014721;242;0;0
0.935;False;log_loss;13;;854;0.021023732;0.000157529;531;0;0
0.935;True;log_loss;54;;396;0.001450508;0.001151799;646;0;0
0.935;False;entropy;44;sqrt;712;0.015901963;0.000433111;922;0;0
0.92;True;entropy;14;sqrt;891;0.001157656;0.007222719;744;0;0
0.935;True;gini;100;;791;0.000374154;0.035487227;137;0;0
0.93;True;log_loss;31;;563;0.000806965;0.000856957;792;0;0
0.935;False;log_loss;17;log2;155;0.345159875;0.003340087;429;0;0
0.935;True;entropy;26;;667;0.007907697;0.000273431;366;0;0
0.935;True;entropy;10;;341;0.256286625;0.000200759;874;0;0
0.935;False;log_loss;92;log2;693;0.320554275;0.006994651;372;0;0
0.935;False;log_loss;1;;716;0.002217209;0.010344356;385;0;0
0.935;True;entropy;26;;266;0.003867323;0.00040532;270;0;0
0.9;False;log_loss;29;;362;0.001079892;0.000587023;583;0;0
0.935;False;log_loss;71;sqrt;525;0.090822269;0.000169872;848;0;0
0.935;False;entropy;55;log2;208;0.001149683;0.726981812;767;0;0
0.935;False;gini;64;sqrt;269;0.006661025;0.161960849;716;0;0
0.935;True;log_loss;33;sqrt;824;0.010658476;0.000146198;954;0;0
0.935;True;gini;95;sqrt;784;0.230180914;0.000628472;321;0;0
0.935;False;log_loss;52;log2;598;0.00010399;0.821112664;990;0;0
0.935;True;entropy;99;;787;0.004680168;0.00737076;669;0;0
0.935;False;log_loss;54;;291;0.082479384;0.472672039;39;0;0
0.935;True;entropy;78;sqrt;599;0.004312201;0.00013755;856;0;0
0.935;False;gini;30;;956;0.000751024;0.318099713;367;0;0
0.935;True;log_loss;64;;410;0.017240669;0.017649005;307;0;0
0.935;True;gini;41;;199;0.327521406;0.001406859;314;0;0
0.935;True;log_loss;4;log2;105;0.004382502;0.000342535;957;0;0
0.935;False;entropy;8;log2;595;0.011836268;0.000100037;171;0;0
0.935;True;log_loss;19;sqrt;816;0.004743687;0.001771437;25;0;0
0.935;False;entropy;72;sqrt;276;0.089183981;0.042123573;255;0;0
0.94;True;gini;19;;520;0.00091791;0.00710103;707;0;0
0.93;False;entropy;34;;288;0.000570542;0.13320965;161;0;0
0.935;False;gini;2;log2;87;0.000587942;0.095931093;836;0;0
0.935;False;gini;88;sqrt;174;0.012013618;0.626136844;982;0;0
0.935;True;log_loss;26;;37;0.23583468;0.00047142;449;0;0
0.93;True;gini;56;;959;0.000431584;0.000544492;797;0;0
0.935;False;entropy;66;sqrt;283;0.018205944;0.012429034;312;0;0
0.93;True;log_loss;39;;395;0.00098865;0.002754343;533;0;0
0.935;False;entropy;97;log2;550;0.033614631;0.014415141;321;0;0
0.935;False;log_loss;98;log2;575;0.006254379;0.034571332;620;0;0
0.935;False;gini;7;log2;453;0.288402879;0.000785614;539;0;0
0.935;True;entropy;75;log2;505;0.43835455;0.000188104;416;0;0
0.935;False;log_loss;14;log2;228;0.0410913;0.226107685;655;0;0
0.91;False;gini;68;log2;544;0.001048485;0.000410656;246;0;0
0.935;False;gini;46;sqrt;249;0.006692619;0.302564898;583;0;0
0.935;True;log_loss;71;sqrt;600;0.027237462;0.001290444;539;0;0
0.935;True;gini;63;log2;906;0.010982819;0.008815325;542;0;0
0.935;False;gini;32;sqrt;431;0.119937037;0.257892007;828;0;0
0.935;True;gini;12;log2;474;0.004372317;0.001671326;255;0;0
0.935;False;log_loss;4;log2;785;0.008031106;0.770172833;172;0;0
0.935;True;gini;86;sqrt;504;0.06807805;0.853315559;333;0;0
0.935;True;log_loss;42;;431;0.01238911;0.021033806;990;0;0
0.925;True;entropy;68;log2;418;0.000275561;0.000317334;192;0;0
0.935;False;gini;38;log2;465;0.007665143;0.141007698;378;0;0
0.935;True;gini;88;sqrt;974;0.003131755;0.468202541;579;0;0
0.935;True;entropy;97;sqrt;144;0.000238249;0.014484537;56;0;0
0.935;False;gini;92;log2;159;0.029134655;0.001926348;103;0;0
0.935;False;log_loss;93;log2;297;0.041831825;0.010849065;792;0;0
0.935;False;entropy;36;sqrt;566;0.000316065;0.592460201;21;0;0
0.935;False;entropy;10;log2;757;0.009224488;0.000196586;959;0;0
0.935;False;entropy;64;;281;0.005617132;0.001692587;691;0;0
0.935;True;entropy;1;log2;849;0.044493919;0.005320117;325;0;0
0.935;True;entropy;16;;251;0.002028845;0.001858217;478;0;0
0.935;False;log_loss;36;sqrt;656;0.004240981;0.053898939;763;0;0
0.935;True;log_loss;45;;673;0.011672758;0.008262492;958;0;0
0.935;True;log_loss;65;;491;0.48711675;0.043537426;926;0;0
0.935;True;gini;61;log2;1000;0.098655217;0.00312602;616;0;0
0.935;True;entropy;19;sqrt;483;0.000357106;0.077823062;476;0;0
0.935;True;entropy;59;log2;240;0.007454906;0.289645193;256;0;0
0.935;True;log_loss;26;sqrt;784;0.067276608;0.016406132;149;0;0
0.935;False;entropy;74;log2;970;0.118344325;0.008109888;465;0;0
0.935;True;entropy;88;sqrt;323;0.004895447;0.00391605;512;0;0
0.91;False;gini;76;log2;111;0.000278435;0.001627476;326;0;0
0.935;False;gini;25;log2;575;0.035312345;0.02742654;862;0;0
0.935;False;log_loss;23;sqrt;279;0.178628239;0.067149436;472;0;0
0.925;False;log_loss;39;;705;0.002498132;0.000965116;992;0;0
0.935;False;log_loss;79;log2;561;0.098150305;0.922475135;915;0;0
0.935;False;entropy;32;log2;150;0.002558744;0.057295168;768;0;0
0.935;False;gini;14;log2;342;0.003519114;0.039015273;427;0;0
0.935;True;log_loss;82;log2;454;0.058362144;0.001979621;758;0;0
0.935;False;entropy;92;;954;0.038223026;0.000673995;447;0;0
0.935;False;gini;24;log2;5;0.002245366;0.13553017;76;0;0
0.935;True;log_loss;87;sqrt;119;0.001333283;0.000112339;761;0;0
0.935;True;gini;72;log2;474;0.008288898;0.004201691;218;0;0
0.93;False;log_loss;65;;81;0.003582027;0.126520221;892;0;0
0.935;True;entropy;66;sqrt;653;0.038279357;0.009193412;348;0;0
0.935;True;gini;10;log2;840;0.000438046;0.020838267;532;0;0
0.935;True;log_loss;69;sqrt;855;0.011205981;0.045584262;364;0;0
0.935;False;entropy;67;;371;0.042905107;0.017739249;892;0;0
0.935;False;entropy;75;log2;879;0.256987755;0.028595563;192;0;0
