value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.642857143;logistic;0.000111506;11;constant;600;lbfgs;0;0
0.662337662;tanh;0.000229499;79;invscaling;155;adam;0;0
0.733766234;relu;0.000266043;87;invscaling;278;lbfgs;0;0
0.720779221;identity;3.29E-05;33;invscaling;794;adam;0;0
0.714285714;identity;0.014738447;57;adaptive;455;sgd;0;0
0.688311688;tanh;2.47E-05;46;constant;610;adam;0;0
0.668831169;logistic;0.003938089;97;adaptive;988;adam;0;0
0.662337662;tanh;1.97E-05;67;invscaling;842;lbfgs;0;0
0.720779221;identity;0.005126852;54;adaptive;373;sgd;0;0
0.694805195;relu;1.98E-05;19;adaptive;301;adam;0;0
0.675324675;tanh;0.009438639;72;invscaling;272;lbfgs;0;0
0.636363636;tanh;0.06308499;72;invscaling;102;sgd;0;0
0.649350649;relu;0.000457303;91;invscaling;803;sgd;0;0
0.662337662;relu;7.38E-05;7;constant;323;adam;0;0
0.714285714;identity;0.000146572;38;constant;365;adam;0;0
0.655844156;tanh;0.015763912;36;invscaling;995;lbfgs;0;0
0.649350649;relu;0.030523334;10;invscaling;317;sgd;0;0
0.753246753;identity;0.006823438;82;adaptive;774;lbfgs;0;0
0.681818182;tanh;0.010098733;47;constant;287;adam;0;0
0.662337662;logistic;0.013343735;49;constant;837;lbfgs;0;0
0.454545455;identity;0.001197329;70;constant;964;sgd;0;0
0.649350649;identity;0.00427351;64;invscaling;133;adam;0;0
0.62987013;tanh;0.0004743;23;adaptive;683;sgd;0;0
0.733766234;logistic;0.000361087;8;adaptive;553;adam;0;0
0.746753247;identity;0.008681701;91;constant;944;lbfgs;0;0
0.62987013;tanh;0.003469256;81;invscaling;200;lbfgs;0;0
0.688311688;relu;0.006889207;99;constant;365;lbfgs;0;0
0.720779221;tanh;0.000208125;15;adaptive;297;adam;0;0
0.642857143;logistic;0.001023007;96;invscaling;996;sgd;0;0
0.694805195;tanh;0.038598002;7;constant;998;lbfgs;0;0
0.675324675;logistic;0.017405632;4;adaptive;748;lbfgs;0;0
0.701298701;relu;1.05E-05;70;adaptive;479;sgd;0;0
0.558441558;logistic;0.004341899;41;invscaling;841;sgd;0;0
0.733766234;identity;0.002772261;61;adaptive;528;adam;0;0
0.636363636;relu;0.09400099;7;invscaling;993;sgd;0;0
0.649350649;tanh;1.15E-05;35;invscaling;179;sgd;0;0
0.681818182;logistic;0.00019441;27;invscaling;935;lbfgs;0;0
0.662337662;logistic;0.002173793;69;adaptive;296;sgd;0;0
0.753246753;identity;1.06E-05;24;adaptive;649;lbfgs;0;0
0.642857143;identity;0.006491471;71;adaptive;141;lbfgs;0;0
0.714285714;logistic;0.004266846;68;invscaling;781;adam;0;0
0.681818182;tanh;0.054595346;30;constant;475;lbfgs;0;0
0.727272727;relu;0.001326035;29;constant;907;lbfgs;0;0
0.714285714;logistic;0.090835497;88;invscaling;743;adam;0;0
0.707792208;relu;0.000303015;61;adaptive;335;sgd;0;0
0.662337662;identity;0.016904376;41;constant;141;sgd;0;0
0.766233766;logistic;0.004452165;54;adaptive;853;adam;0;0
0.74025974;relu;3.79E-05;23;invscaling;210;lbfgs;0;0
0.727272727;tanh;3.52E-05;65;adaptive;136;adam;0;0
0.753246753;identity;0.005152674;65;invscaling;312;lbfgs;0;0
0.753246753;identity;0.037652719;15;constant;781;lbfgs;0;0
0.707792208;identity;0.05987097;68;constant;886;adam;0;0
0.571428571;logistic;2.33E-05;14;invscaling;953;sgd;0;0
0.642857143;logistic;0.004134051;37;invscaling;754;sgd;0;0
0.714285714;relu;0.020249585;48;adaptive;898;lbfgs;0;0
0.714285714;tanh;0.016405399;73;invscaling;477;lbfgs;0;0
0.785714286;relu;0.003849552;8;constant;400;sgd;1;0
0.766233766;relu;0.004155476;38;constant;889;adam;1;0
0.461038961;logistic;2.44E-05;39;invscaling;714;sgd;1;0
0.707792208;tanh;5.74E-05;48;adaptive;982;lbfgs;1;0
0.74025974;identity;0.008520807;23;adaptive;226;sgd;1;0
0.753246753;identity;1.15E-05;47;invscaling;521;lbfgs;1;0
0.733766234;logistic;0.022353248;5;constant;841;lbfgs;1;0
0.746753247;identity;0.000565415;25;adaptive;100;adam;1;0
0.675324675;logistic;0.00023087;82;constant;658;lbfgs;1;0
0.733766234;tanh;0.033213868;30;adaptive;400;sgd;1;0
